date,close,predict,real,correct,ret,equity
2025-05-14,1634.99,跌↓,跌↓,✓,-0.18%,1.0
2025-05-15,1632.01,跌↓,跌↓,✓,-1.10%,1.0
2025-05-16,1614.13,跌↓,跌↓,✓,-2.18%,1.0
2025-05-19,1578.98,涨↑,涨↑,✓,+0.44%,1.0044
2025-05-20,1586.0,涨↑,跌↓,✗,-0.32%,1.0013
2025-05-21,1580.97,跌↓,跌↓,✓,-0.06%,1.0013
2025-05-22,1580.0,跌↓,跌↓,✓,-0.47%,1.0013
2025-05-23,1572.6,跌↓,跌↓,✓,-1.41%,1.0013
2025-05-26,1550.5,涨↑,跌↓,✗,-0.43%,0.997
2025-05-27,1543.9,跌↓,跌↓,✓,-0.45%,0.997
2025-05-28,1537.0,跌↓,涨↑,✗,+0.20%,0.997
2025-05-29,1540.0,涨↑,跌↓,✗,-1.17%,0.9853
2025-05-30,1522.0,涨↑,跌↓,✗,-0.85%,0.9769
2025-06-03,1509.0,跌↓,涨↑,✗,+0.06%,0.9769
2025-06-04,1509.96,涨↑,涨↑,✓,+0.27%,0.9795
2025-06-05,1514.0,涨↑,跌↓,✗,-0.50%,0.9746
2025-06-06,1506.39,涨↑,跌↓,✗,-1.35%,0.9615
2025-06-09,1486.11,涨↑,跌↓,✗,-0.75%,0.9543
2025-06-10,1475.01,涨↑,涨↑,✓,+0.34%,0.9575
2025-06-11,1480.0,涨↑,跌↓,✗,-1.42%,0.944
2025-06-12,1459.0,跌↓,跌↓,✓,-2.20%,0.944
2025-06-13,1426.95,跌↓,跌↓,✓,-0.33%,0.944
2025-06-16,1422.29,跌↓,涨↑,✗,+0.33%,0.944
2025-06-17,1427.0,涨↑,跌↓,✗,-0.14%,0.9426
2025-06-18,1425.0,跌↓,涨↑,✗,+0.07%,0.9426
2025-06-19,1426.0,涨↑,涨↑,✓,+0.19%,0.9444
2025-06-20,1428.66,涨↑,跌↓,✗,-0.61%,0.9387
2025-06-23,1420.0,涨↑,涨↑,✓,+1.21%,0.95
2025-06-24,1437.2,跌↓,跌↓,✓,-0.09%,0.95
2025-06-25,1435.86,涨↑,跌↓,✗,-1.10%,0.9395
2025-06-26,1420.0,跌↓,跌↓,✓,-1.19%,0.9395
2025-06-27,1403.09,跌↓,涨↑,✗,+0.46%,0.9395
2025-06-30,1409.52,跌↓,跌↓,✓,-0.31%,0.9395
2025-07-01,1405.1,跌↓,涨↑,✗,+0.32%,0.9395
2025-07-02,1409.6,跌↓,涨↑,✗,+0.43%,0.9395
2025-07-03,1415.6,跌↓,涨↑,✗,+0.47%,0.9395
2025-07-04,1422.22,跌↓,跌↓,✓,-0.81%,0.9395
2025-07-07,1410.7,涨↑,涨↑,✓,+0.38%,0.9431
2025-07-08,1416.11,涨↑,涨↑,✓,+0.20%,0.945
2025-07-09,1418.88,涨↑,涨↑,✓,+0.54%,0.9501
2025-07-10,1426.5,涨↑,涨↑,✓,+0.04%,0.9504
2025-07-11,1427.0,涨↑,跌↓,✗,-0.24%,0.9481
2025-07-14,1423.6,涨↑,跌↓,✗,-0.89%,0.9397
2025-07-15,1411.0,涨↑,涨↑,✓,+0.00%,0.9398
2025-07-16,1411.03,跌↓,涨↑,✗,+0.38%,0.9398
2025-07-17,1416.35,跌↓,涨↑,✗,+1.46%,0.9398
2025-07-18,1437.0,跌↓,涨↑,✗,+0.42%,0.9398
2025-07-21,1443.0,涨↑,涨↑,✓,+1.52%,0.9541
2025-07-22,1464.98,跌↓,涨↑,✗,+0.72%,0.9541
2025-07-23,1475.5,跌↓,涨↑,✗,+1.08%,0.9541
2025-07-24,1491.5,跌↓,跌↓,✓,-2.45%,0.9541
2025-07-25,1455.0,涨↑,跌↓,✗,-1.12%,0.9434
2025-07-28,1438.66,涨↑,涨↑,✓,+0.02%,0.9436
2025-07-29,1439.0,涨↑,涨↑,✓,+0.73%,0.9504
2025-07-30,1449.44,涨↑,跌↓,✗,-1.92%,0.9322
2025-07-31,1421.67,跌↓,跌↓,✓,-0.33%,0.9322
2025-08-01,1417.0,跌↓,涨↑,✗,+0.14%,0.9322
2025-08-04,1419.0,涨↑,涨↑,✓,+0.62%,0.938
2025-08-05,1427.74,涨↑,跌↓,✗,-0.27%,0.9354
2025-08-06,1423.88,跌↓,跌↓,✓,-0.11%,0.9354
2025-08-07,1422.35,涨↑,跌↓,✗,-0.10%,0.9345
2025-08-08,1420.97,涨↑,涨↑,✓,+1.69%,0.9503
2025-08-11,1445.0,跌↓,跌↓,✓,-0.55%,0.9503
2025-08-12,1437.04,涨↑,跌↓,✗,-1.18%,0.9391
2025-08-13,1420.05,涨↑,涨↑,✓,+0.49%,0.9437
2025-08-14,1426.99,涨↑,跌↓,✗,-0.34%,0.9404
2025-08-15,1422.08,涨↑,涨↑,✓,+0.45%,0.9447
2025-08-18,1428.5,跌↓,涨↑,✗,+0.67%,0.9447
2025-08-19,1438.0,涨↑,涨↑,✓,+0.83%,0.9526
2025-08-20,1450.0,涨↑,跌↓,✗,-0.12%,0.9514
2025-08-21,1448.25,涨↑,涨↑,✓,+1.08%,0.9617
2025-08-22,1463.95,涨↑,涨↑,✓,+1.80%,0.9791
2025-08-25,1490.33,跌↓,跌↓,✓,-0.59%,0.9791
2025-08-26,1481.61,跌↓,跌↓,✓,-2.27%,0.9791
2025-08-27,1448.0,跌↓,跌↓,✓,-0.13%,0.9791
2025-08-28,1446.1,涨↑,涨↑,✓,+2.34%,1.002
2025-08-29,1480.0,跌↓,跌↓,✓,-0.26%,1.002
2025-09-01,1476.1,跌↓,涨↑,✗,+1.03%,1.002
2025-09-02,1491.3,跌↓,跌↓,✓,-0.72%,1.002
2025-09-03,1480.55,跌↓,跌↓,✓,-0.53%,1.002
2025-09-04,1472.66,涨↑,涨↑,✓,+0.70%,1.009
2025-09-05,1483.0,跌↓,涨↑,✗,+1.23%,1.009
2025-09-08,1501.23,跌↓,涨↑,✗,+0.25%,1.009
2025-09-09,1505.0,涨↑,涨↑,✓,+1.13%,1.0204
2025-09-10,1522.01,跌↓,涨↑,✗,+0.10%,1.0204
2025-09-11,1523.5,跌↓,跌↓,✓,-0.49%,1.0204
2025-09-12,1516.0,涨↑,跌↓,✗,-0.06%,1.0198
2025-09-15,1515.1,涨↑,跌↓,✗,-1.00%,1.0097
2025-09-16,1499.98,涨↑,跌↓,✗,-0.47%,1.005
2025-09-17,1493.0,涨↑,跌↓,✗,-1.68%,0.9881
2025-09-18,1467.96,跌↓,涨↑,✗,+0.00%,0.9881
2025-09-19,1467.97,跌↓,跌↓,✓,-1.00%,0.9881
2025-09-22,1453.35,跌↓,跌↓,✓,-0.41%,0.9881
2025-09-23,1447.42,跌↓,跌↓,✓,-0.37%,0.9881
2025-09-24,1442.0,跌↓,跌↓,✓,-0.21%,0.9881
2025-09-25,1439.0,涨↑,跌↓,✗,-0.28%,0.9854
2025-09-26,1435.0,涨↑,涨↑,✓,+1.80%,1.0031
2025-09-29,1460.86,跌↓,跌↓,✓,-1.15%,1.0031
2025-09-30,1443.99,跌↓,跌↓,✓,-0.50%,1.0031
2025-10-09,1436.78,跌↓,跌↓,✓,-0.47%,1.0031
