K线分析报告 - SH600519 - 2026-04-11 20:22:41
==================================================
评分: 87/100 | 趋势: 上升趋势 ↑↑
MACD: 红柱扩张
RSI: RSI=76.6 强势区域
KDJ: K=75.6 D=66.1 J=94.7 | J值超买 ⚠
布林带: 上轨=1447.114 中轨=1415.133 下轨=1383.152 | 处于带上部(99%) 偏强 | 带宽=4.5%
形态: 放量异动 ⚠
压力: 1462.5 / 1455.0  支撑: 1400.03 / 1400.18
操作建议: ★ 强烈买入
==================================================
日期                        开        收        高        低            量
2026-04-10 15:00:00  1456.60  1453.96  1459.71  1452.87      479,789
2026-04-10 14:00:00  1444.10  1456.54  1456.98  1444.02      552,901
2026-04-10 11:30:00  1444.41  1444.04  1447.48  1443.79      406,905
2026-04-10 10:30:00  1459.14  1444.41  1459.14  1441.10    1,446,961
2026-04-09 15:00:00  1456.71  1460.49  1460.49  1455.28      382,736
2026-04-09 14:00:00  1451.15  1456.79  1459.88  1448.81      419,871
2026-04-09 11:30:00  1448.88  1451.15  1453.99  1447.50      322,175
2026-04-09 10:30:00  1465.02  1448.88  1465.02  1448.00      945,694
2026-04-08 15:00:00  1465.54  1465.02  1466.04  1460.95      642,133
2026-04-08 14:00:00  1457.00  1465.59  1466.00  1455.00      652,566
2026-04-08 11:30:00  1464.50  1457.00  1466.00  1456.27      473,533
2026-04-08 10:30:00  1460.00  1464.50  1469.08  1452.13    1,615,378
2026-04-07 15:00:00  1439.49  1440.02  1442.98  1435.05      630,124
2026-04-07 14:00:00  1455.33  1439.51  1455.33  1439.01      553,430
2026-04-07 11:30:00  1456.53  1455.33  1461.09  1454.33      275,000
2026-04-07 10:30:00  1460.05  1457.24  1470.00  1455.86      956,664
2026-04-03 15:00:00  1459.21  1460.00  1460.76  1457.00      438,917
2026-04-03 14:00:00  1458.88  1459.10  1464.01  1458.61      229,090
2026-04-03 11:30:00  1463.21  1458.62  1467.04  1456.10      446,600
2026-04-03 10:30:00  1459.54  1463.20  1469.96  1455.00      904,766
2026-04-02 15:00:00  1457.96  1459.88  1460.18  1455.36      481,375
2026-04-02 14:00:00  1462.99  1457.96  1463.14  1456.00      397,767
2026-04-02 11:30:00  1458.99  1462.99  1464.88  1457.02      398,535
2026-04-02 10:30:00  1459.44  1458.02  1462.00  1452.10      828,760
2026-04-01 15:00:00  1459.02  1459.44  1462.87  1457.56      683,780
2026-04-01 14:00:00  1462.13  1459.95  1466.43  1458.95      434,740
2026-04-01 11:30:00  1467.22  1462.12  1468.88  1460.50      341,302
2026-04-01 10:30:00  1464.49  1467.22  1469.99  1452.88    1,452,692
2026-03-31 15:00:00  1459.90  1450.00  1462.66  1450.00      982,254
2026-03-31 14:00:00  1453.50  1459.90  1462.00  1448.41      974,415
2026-03-31 11:30:00  1455.86  1453.09  1464.99  1453.00      867,720
2026-03-31 10:30:00  1468.00  1455.21  1479.93  1451.89    3,344,677
2026-03-30 15:00:00  1417.98  1420.00  1424.99  1417.61      500,665
2026-03-30 14:00:00  1425.06  1417.81  1426.10  1416.94      413,592
2026-03-30 11:30:00  1410.15  1425.15  1431.00  1408.91      839,147
2026-03-30 10:30:00  1407.00  1410.15  1413.77  1402.52    1,115,055
2026-03-27 15:00:00  1415.33  1416.02  1418.20  1413.29      684,965
2026-03-27 14:00:00  1413.89  1415.33  1421.22  1412.58      427,354
2026-03-27 11:30:00  1420.28  1413.90  1422.50  1412.50      376,339
2026-03-27 10:30:00  1400.00  1420.55  1426.00  1396.66    1,520,053
2026-03-26 15:00:00  1403.24  1401.18  1405.49  1400.30      751,736
2026-03-26 14:00:00  1404.70  1403.19  1405.22  1401.20      508,978
2026-03-26 11:30:00  1405.92  1403.50  1409.85  1403.15      300,820
2026-03-26 10:30:00  1409.00  1406.16  1413.90  1403.00      747,755
2026-03-25 15:00:00  1406.38  1410.27  1411.20  1405.01      562,772
2026-03-25 14:00:00  1409.26  1406.56  1411.11  1405.50      473,116
2026-03-25 11:30:00  1410.70  1408.81  1412.99  1407.52      413,120
2026-03-25 10:30:00  1410.11  1411.00  1417.87  1401.01    1,160,338
2026-03-24 15:00:00  1403.41  1407.33  1409.79  1403.41      677,629
2026-03-24 14:00:00  1406.98  1403.29  1409.79  1403.00      481,304
2026-03-24 11:30:00  1410.50  1406.59  1412.99  1403.98      493,984
2026-03-24 10:30:00  1416.00  1410.05  1417.59  1400.18    1,203,262
2026-03-23 15:00:00  1405.00  1408.07  1410.00  1400.03    1,314,029
2026-03-23 14:00:00  1408.70  1405.00  1419.00  1404.44      942,268
2026-03-23 11:30:00  1417.05  1408.57  1419.88  1407.00      660,562
2026-03-23 10:30:00  1433.33  1418.00  1435.00  1405.58    1,808,730
2026-03-20 15:00:00  1443.50  1445.00  1446.96  1439.00      828,810
2026-03-20 14:00:00  1450.87  1443.49  1450.99  1442.04      464,453
2026-03-20 11:30:00  1446.62  1449.99  1455.00  1446.00      382,720
2026-03-20 10:30:00  1452.96  1446.62  1462.50  1441.41      937,251
