K线分析报告 - SH605296 - 2026-04-11 20:25:16
==================================================
评分: 72/100 | 趋势: 上升趋势 ↑↑
MACD: 
RSI: RSI=71.3 强势区域
KDJ: K=78.4 D=72.4 J=90.4 | J值超买 ⚠
布林带: 上轨=30.932 中轨=29.643 下轨=28.354 | 处于带上部(91%) 偏强 | 带宽=8.7%
形态: 放量异动 ⚠
压力: 31.33 / 31.26  支撑: 28.7 / 28.71
操作建议: ↑ 建议买入
==================================================
日期                        开        收        高        低            量
2026-04-10 15:00:00    28.39    28.42    28.45    28.33      516,400
2026-04-10 14:00:00    28.93    28.37    28.96    28.35      547,900
2026-04-10 11:30:00    28.87    28.91    29.12    28.80      547,700
2026-04-10 10:30:00    28.49    28.88    29.11    28.07    1,447,080
2026-04-09 15:00:00    28.35    28.38    28.46    28.30      501,900
2026-04-09 14:00:00    28.45    28.36    28.64    28.30      413,100
2026-04-09 11:30:00    28.50    28.45    28.53    28.28      500,600
2026-04-09 10:30:00    28.76    28.50    29.07    28.48    1,343,800
2026-04-08 15:00:00    28.80    28.90    28.90    28.70      623,640
2026-04-08 14:00:00    28.71    28.80    28.86    28.63      320,700
2026-04-08 11:30:00    28.73    28.72    28.81    28.63      327,300
2026-04-08 10:30:00    28.31    28.73    29.03    28.18    1,832,650
2026-04-07 15:00:00    28.66    28.59    28.75    28.51      617,100
2026-04-07 14:00:00    28.93    28.65    29.07    28.45      598,500
2026-04-07 11:30:00    28.04    28.98    29.45    28.04    2,532,720
2026-04-07 10:30:00    27.11    28.04    28.19    26.69    2,138,940
2026-04-03 15:00:00    27.44    27.28    27.46    27.25      716,240
2026-04-03 14:00:00    27.27    27.45    27.48    27.23      471,800
2026-04-03 11:30:00    27.47    27.26    27.52    27.21      798,400
2026-04-03 10:30:00    28.30    27.49    28.30    27.34    1,900,000
2026-04-02 15:00:00    28.63    28.58    28.72    28.44      805,220
2026-04-02 14:00:00    28.65    28.63    29.01    28.54      610,300
2026-04-02 11:30:00    28.52    28.65    29.32    28.52    1,512,000
2026-04-02 10:30:00    27.25    28.52    29.07    27.21    3,693,110
2026-04-01 15:00:00    27.19    27.25    27.33    27.19      360,820
2026-04-01 14:00:00    27.22    27.19    27.37    27.17      212,700
2026-04-01 11:30:00    27.28    27.23    27.39    27.18      410,900
2026-04-01 10:30:00    27.53    27.25    27.54    26.95      939,376
2026-03-31 15:00:00    27.51    27.33    27.52    27.27      733,050
2026-03-31 14:00:00    27.46    27.53    27.58    27.37      313,330
2026-03-31 11:30:00    27.68    27.45    27.70    27.23    1,255,930
2026-03-31 10:30:00    28.55    27.67    28.87    27.35    2,290,656
2026-03-30 15:00:00    28.64    28.58    28.65    28.50      430,900
2026-03-30 14:00:00    28.88    28.64    28.88    28.55      302,400
2026-03-30 11:30:00    28.66    28.88    28.89    28.55      244,600
2026-03-30 10:30:00    28.21    28.68    28.99    28.12    1,895,400
2026-03-27 15:00:00    28.20    28.41    28.55    28.07    1,138,290
2026-03-27 14:00:00    27.93    28.20    28.22    27.92    1,020,200
2026-03-27 11:30:00    28.99    27.92    28.99    27.85    2,146,800
2026-03-27 10:30:00    28.60    29.00    29.60    28.52    1,372,590
2026-03-26 15:00:00    29.04    28.93    29.10    28.71      867,900
2026-03-26 14:00:00    29.18    29.04    29.39    28.83      561,100
2026-03-26 11:30:00    29.26    29.14    29.29    29.09      241,500
2026-03-26 10:30:00    29.42    29.28    29.65    29.16      696,000
2026-03-25 15:00:00    29.30    29.43    29.46    29.15      527,000
2026-03-25 14:00:00    29.31    29.31    29.44    29.25      355,100
2026-03-25 11:30:00    29.37    29.31    29.53    29.29      266,600
2026-03-25 10:30:00    29.17    29.39    29.72    29.01    1,017,800
2026-03-24 15:00:00    29.06    29.46    29.50    29.06      603,130
2026-03-24 14:00:00    29.12    29.06    29.25    28.98      437,800
2026-03-24 11:30:00    29.08    29.15    29.47    29.03      491,900
2026-03-24 10:30:00    30.10    29.13    30.12    28.70    1,730,800
2026-03-23 15:00:00    29.62    29.51    29.80    29.30      716,500
2026-03-23 14:00:00    29.73    29.63    30.04    29.45      516,500
2026-03-23 11:30:00    30.26    29.73    30.33    29.60      767,630
2026-03-23 10:30:00    30.28    30.26    30.73    29.70    2,061,900
2026-03-20 15:00:00    30.61    30.56    31.00    30.54      877,610
2026-03-20 14:00:00    31.18    30.61    31.26    30.57      631,000
2026-03-20 11:30:00    30.70    31.23    31.33    30.42    1,124,200
2026-03-20 10:30:00    30.75    30.71    31.08    30.38    2,014,700
