date,close,predict,prob_up,real,correct,ret,equity
2024-03-29,1702.9,跌↓,46.7,涨↑,✗,+1.08%,1.0
2024-04-01,1721.33,跌↓,33.3,跌↓,✓,-0.43%,1.0
2024-04-02,1713.99,跌↓,37.8,涨↑,✗,+0.07%,1.0
2024-04-03,1715.11,跌↓,45.6,跌↓,✓,-2.82%,1.0
2024-04-08,1666.66,跌↓,46.9,跌↓,✓,-0.27%,1.0
2024-04-09,1662.22,涨↑,58.9,跌↓,✗,-0.86%,0.9914
2024-04-10,1647.98,跌↓,49.5,涨↑,✗,+0.00%,0.9914
2024-04-11,1648.0,跌↓,42.7,跌↓,✓,-0.85%,0.9914
2024-04-12,1634.03,涨↑,55.7,涨↑,✓,+2.38%,1.0151
2024-04-15,1672.98,跌↓,42.3,跌↓,✓,-0.18%,1.0151
2024-04-16,1670.0,跌↓,51.1,跌↓,✓,-0.18%,1.0151
2024-04-17,1667.0,涨↑,61.1,涨↑,✓,+0.23%,1.0174
2024-04-18,1670.78,跌↓,46.5,跌↓,✓,-1.44%,1.0174
2024-04-19,1646.64,涨↑,58.6,涨↑,✓,+1.73%,1.0349
2024-04-22,1675.06,跌↓,49.8,涨↑,✗,+1.03%,1.0349
2024-04-23,1692.28,跌↓,46.8,涨↑,✗,+0.08%,1.0349
2024-04-24,1693.6,跌↓,48.8,跌↓,✓,-0.03%,1.0349
2024-04-25,1693.04,跌↓,39.8,涨↑,✗,+0.97%,1.0349
2024-04-26,1709.43,跌↓,37.0,跌↓,✓,-0.32%,1.0349
2024-04-29,1704.0,跌↓,47.0,涨↑,✗,+0.06%,1.0349
2024-04-30,1705.0,跌↓,42.8,涨↑,✗,+3.24%,1.0349
2024-05-06,1760.2,跌↓,28.1,涨↑,✗,+0.56%,1.0349
2024-05-07,1770.0,跌↓,41.0,跌↓,✓,-0.34%,1.0349
2024-05-08,1763.97,跌↓,31.2,跌↓,✓,-0.45%,1.0349
2024-05-09,1756.0,跌↓,37.0,跌↓,✓,-0.97%,1.0349
2024-05-10,1738.98,跌↓,44.9,跌↓,✓,-1.90%,1.0349
2024-05-13,1706.0,跌↓,46.4,跌↓,✓,-0.24%,1.0349
2024-05-14,1701.98,涨↑,54.1,跌↓,✗,-0.12%,1.0337
2024-05-15,1700.0,跌↓,52.3,涨↑,✗,+0.26%,1.0337
2024-05-16,1704.5,跌↓,49.0,涨↑,✗,+0.62%,1.0337
2024-04-16,1670.0,跌↓,50.6,跌↓,✓,-0.18%,1.0337
2024-04-17,1667.0,涨↑,60.5,涨↑,✓,+0.23%,1.0361
