date,close,predict,prob_up,real,correct,ret,equity,idx
2023-11-01,24.28,跌↓,39.4,跌↓,✓,-1.69%,1.0,250
2023-11-02,23.87,涨↑,55.1,涨↑,✓,+5.49%,1.0549,251
2023-11-03,25.18,跌↓,49.1,涨↑,✗,+1.31%,1.0549,252
2023-11-06,25.51,跌↓,38.5,涨↑,✗,+1.96%,1.0549,253
2023-11-07,26.01,跌↓,41.8,跌↓,✓,-1.88%,1.0549,254
2023-11-08,25.52,跌↓,48.3,涨↑,✗,+0.24%,1.0549,255
2023-11-09,25.58,涨↑,53.7,涨↑,✓,+3.71%,1.0941,256
2023-11-10,26.53,跌↓,37.5,跌↓,✓,-1.36%,1.0941,257
2023-11-13,26.17,跌↓,34.4,跌↓,✓,-0.65%,1.0941,258
2023-11-14,26.0,跌↓,43.2,跌↓,✓,-0.38%,1.0941,259
2023-11-15,25.9,跌↓,47.0,跌↓,✓,-2.08%,1.0941,260
2023-11-16,25.36,跌↓,47.0,涨↑,✗,+0.24%,1.0941,261
2023-11-17,25.42,跌↓,35.8,跌↓,✓,-0.12%,1.0941,262
2023-11-20,25.39,跌↓,33.2,跌↓,✓,-1.14%,1.0941,263
2023-11-21,25.1,涨↑,51.6,跌↓,✗,-2.19%,1.0701,264
2023-11-22,24.55,涨↑,56.1,涨↑,✓,+1.22%,1.0832,265
2023-11-23,24.85,跌↓,44.7,跌↓,✓,-2.21%,1.0832,266
2023-11-24,24.3,跌↓,40.1,涨↑,✗,+0.21%,1.0832,267
2023-11-27,24.35,跌↓,48.2,涨↑,✗,+0.57%,1.0832,268
2023-11-28,24.49,跌↓,34.7,涨↑,✗,+1.59%,1.0832,269
2023-11-29,24.88,跌↓,38.9,跌↓,✓,-2.89%,1.0832,270
2023-11-30,24.16,跌↓,47.7,涨↑,✗,+0.75%,1.0832,271
2023-12-01,24.34,跌↓,44.6,跌↓,✓,-1.36%,1.0832,272
2023-12-04,24.01,涨↑,51.8,跌↓,✗,-2.87%,1.052,273
2023-12-05,23.32,涨↑,54.4,跌↓,✗,-0.34%,1.0484,274
2023-12-06,23.24,涨↑,60.8,跌↓,✗,-0.99%,1.038,275
2023-12-07,23.01,涨↑,52.6,涨↑,✓,+0.61%,1.0444,276
2023-12-08,23.15,跌↓,47.7,涨↑,✗,+0.91%,1.0444,277
2023-12-11,23.36,跌↓,38.9,涨↑,✗,+0.30%,1.0444,278
2023-12-12,23.43,跌↓,43.7,跌↓,✓,-1.37%,1.0444,279
2023-11-15,25.9,跌↓,42.6,跌↓,✓,-2.08%,1.0444,260
2023-11-16,25.36,跌↓,46.8,涨↑,✗,+0.24%,1.0444,261
2023-11-17,25.42,跌↓,36.4,跌↓,✓,-0.12%,1.0444,262
2023-11-20,25.39,跌↓,34.6,跌↓,✓,-1.14%,1.0444,263
2023-11-21,25.1,跌↓,50.1,跌↓,✓,-2.19%,1.0444,264
2023-11-22,24.55,涨↑,56.2,涨↑,✓,+1.22%,1.0571,265
2023-11-23,24.85,跌↓,46.1,跌↓,✓,-2.21%,1.0571,266
