代码,名称,综合得分,回调深度,收盘价,ROE(%),净利润增长(%),每股收益,详细理由
688506,百利天恒,7.5,深回调,299.95,97.08,,12.482,强势:近20日+17% | 回调至MA60(285.39) | MACD红柱(已启动) | RSI14=64(正常区) | 量能健康(0.8xMA20)
600396,华电辽能,7.5,布林撑,7.3,25.48,,0.09,强势:近20日+88% | 布林下轨(4.47)获撑 | RSI14=53(回升区) | KDJ超卖J=12 | 量能健康(1.0xMA20)
2124,天邦食品,6.0,深回调,2.59,21.4,,0.271,"上涨:近10日+8% | 回调至MA60(2.54) | MACD红柱(已启动) | KDJ金叉(K=68) | 量开始放大 | 偏离MA5过大,追高风险"
600726,华电能源,8.0,中回调,4.86,10.61,39.16,0.089,强势:近20日+14% | 回调至MA20(5.37):-9.4% | RSI14=45(回升区) | KDJ超卖J=-10 | 超跌:BIAS20=-9.4% | 量能健康(0.7xMA20) | 量开始放大
2420,毅昌科技,5.5,深回调,7.68,10.29,379.61,0.138,小幅涨:近10日+5% | 回调至MA60(7.90) | MACD红柱(已启动) | 量能健康(0.9xMA20)
300840,酷特智能,10.0,中回调,18.51,8.8,301.74,0.472,小幅涨:近10日+4% | 回调至MA20(18.02):+2.7% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=59) | 乖离正常:BIAS20=2.7% | 量能健康(0.8xMA20)
2248,华东数控,8.5,中回调,12.58,8.06,14.95,0.018,小幅涨:近10日+4% | 回调至MA20(12.39):+1.5% | MACD红柱(已启动) | RSI14=62(正常区) | 乖离正常:BIAS20=1.5% | 量能健康(0.6xMA20)
300394,天孚通信,6.5,布林撑,351.0,7.99,203.76,0.709,上涨:近10日+11% | 布林下轨(280.31)获撑 | MACD红柱(已启动) | 量能健康(1.0xMA20)
688480,赛恩斯,11.0,中回调,85.49,7.88,456.41,0.852,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
688525,佰维存储,6.5,布林撑,255.85,7.75,,0.365,"强势:近20日+22% | 布林下轨(203.76)获撑 | MACD绿柱(-0.0806) | RSI14=62(正常区) | KDJ金叉(K=67) | 量能健康(1.0xMA20) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
603929,亚翔集成,5.0,布林撑,211.5,7.57,251.51,0.545,"强势:近20日+50% | 布林下轨(157.58)获撑 | MACD红柱(已启动) | 量能健康(0.9xMA20) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
600359,新农开发,8.5,中回调,7.09,7.39,7.94,0.137,小幅涨:近10日+2% | 回调至MA20(7.12):-0.4% | MACD红柱(已启动) | RSI14=62(正常区) | 乖离正常:BIAS20=-0.4% | 量能健康(0.7xMA20)
848,承德露露,7.0,深回调,8.29,7.39,3.07,0.234,小幅涨:近10日+5% | 回调至MA60(8.30) | MACD红柱(已启动) | KDJ金叉(K=66) | 量开始放大
601975,招商南油,10.0,轻回调,4.63,7.04,64.89,0.141,小幅涨:近10日+4% | 回调至MA10下:-3.3% | MACD绿柱收窄(-0.0167) | RSI14=55(回升区) | 乖离正常:BIAS20=-2.1% | 量能健康(0.8xMA20)
2032,苏 泊 尔,7.5,中回调,45.38,6.89,7.39,0.582,小幅涨:近10日+3% | 回调至MA20(44.68):+1.6% | MACD红柱(已启动) | 乖离正常:BIAS20=1.6% | 量能健康(0.9xMA20)
688617,惠泰医疗,6.0,布林撑,256.1,6.83,39.56,2.062,小幅涨:近10日+4% | 布林下轨(220.59)获撑 | MACD红柱(已启动) | 量能健康(0.7xMA20)
603088,宁波精达,6.0,布林撑,13.41,6.82,41.38,0.123,"上涨:近10日+11% | 布林下轨(11.29)获撑 | MACD红柱(已启动) | RSI14=63(正常区) | 量开始放大 | 偏离MA5过大,追高风险"
300628,亿联网络,6.0,深回调,36.09,6.54,34.45,0.45,上涨:近10日+13% | 回调至MA60(35.54) | MACD红柱(已启动) | 量开始放大
603288,海天味业,6.0,布林撑,40.99,6.36,11.86,0.347,小幅涨:近10日+3% | 布林下轨(35.67)获撑 | MACD红柱(已启动) | 量能健康(0.5xMA20)
2534,西子洁能,6.5,深回调,18.42,6.27,681.14,0.363,上涨:近10日+11% | 回调至MA60(18.09) | MACD红柱(已启动) | 量能健康(1.7xMA20) | 量开始放大
