排名,代码,名称,回调深度,收盘价,综合得分,技术得分,ROE得分,增长得分,EPS得分,综合排名分,ROE(%),净利润增长(%),每股收益,近10日涨幅%,详细理由
1,688480,赛恩斯,中回调,85.49,11.0,35.2,9.8,20.0,12.8,26.22,7.88,456.41,0.852,4.4,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
2,601020,华钰矿业,中回调,29.7,12.0,38.4,1.6,20.0,0.9,25.5,1.31,319.45,0.062,6.1,上涨:近10日+6% | 回调至MA20(29.82):-0.4% | MACD红柱(已启动) | RSI14=44(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-0.4% | 量能健康(2.0xMA20) | 量开始放大
3,300113,顺网科技,中回调,28.61,12.5,40.0,3.2,5.7,1.4,25.43,2.55,28.36,0.09,2.8,小幅涨:近10日+3% | 回调至MA20(27.82):+2.8% | MACD绿柱收窄(-0.0265) | RSI14=51(回升区) | RSI6金叉RSI14 | KDJ金叉(K=61) | 乖离正常:BIAS20=2.8% | 量能健康(0.8xMA20)
4,2565,顺灏股份,中回调,16.42,12.0,38.4,1.3,20.0,0.4,25.38,1.02,321.92,0.025,7.5,强势:近20日+24% | 回调至MA20(16.08):+2.1% | MACD红柱(已启动) | RSI14=47(回升区) | RSI6金叉RSI14 | 乖离正常:BIAS20=2.1% | 量能健康(0.5xMA20)
5,603319,美湖股份,中回调,33.97,12.0,38.4,3.2,4.5,3.2,24.45,2.55,22.46,0.216,6.7,上涨:近10日+7% | 回调至MA20(33.02):+2.9% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=2.9% | 量能健康(1.5xMA20) | 量开始放大
6,600623,华谊集团,中回调,10.15,11.5,36.8,0.8,20.0,1.7,24.38,0.68,162.67,0.112,2.0,小幅涨:近10日+2% | 回调至MA20(10.00):+1.5% | MACD绿柱收窄(-0.0117) | RSI14=51(回升区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.5% | 量能健康(1.0xMA20) | 量开始放大
7,300840,酷特智能,中回调,18.51,10.0,32.0,11.0,20.0,7.1,24.3,8.8,301.74,0.472,4.1,小幅涨:近10日+4% | 回调至MA20(18.02):+2.7% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=59) | 乖离正常:BIAS20=2.7% | 量能健康(0.8xMA20)
8,605377,华旺科技,中回调,9.61,11.5,36.8,4.4,7.4,6.6,24.26,3.53,37.04,0.442,6.4,上涨:近10日+6% | 回调至MA20(9.58):+0.3% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=61) | 乖离正常:BIAS20=0.3% | 量能健康(0.8xMA20)
9,688155,先惠技术,中回调,77.62,10.5,33.6,4.9,20.0,15.0,24.14,3.94,105.33,1.1,2.5,小幅涨:近10日+3% | 回调至MA20(76.04):+2.1% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=62) | 乖离正常:BIAS20=2.1% | 量能健康(1.7xMA20) | 量开始放大
10,688375,国博电子,中回调,110.5,12.0,38.4,2.5,0.8,4.5,23.97,1.97,4.22,0.302,5.7,小幅涨:近10日+6% | 回调至MA20(108.11):+2.2% | MACD红柱(已启动) | RSI14=59(正常区) | RSI6金叉RSI14 | KDJ金叉(K=56) | 乖离正常:BIAS20=2.2% | 量能健康(1.2xMA20) | 量开始放大
