代码,名称,综合得分,回调深度,收盘价,ROE(%),净利润增长(%),每股收益,近10日涨幅%,近20日涨幅%,详细理由
688480,赛恩斯,11.0,中回调,85.49,7.88,456.41,0.852,4.4,-19.8,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
1337,四川黄金,10.5,中回调,48.95,5.34,24.12,0.183,6.3,-8.9,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
601702,华峰铝业,10.5,中回调,19.86,5.31,49.52,0.254,6.1,-8.1,上涨:近10日+6% | 回调至MA20(19.71):+0.8% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=0.8% | 量能健康(0.7xMA20)
300840,酷特智能,10.0,中回调,18.51,8.8,301.74,0.472,4.1,0.9,小幅涨:近10日+4% | 回调至MA20(18.02):+2.7% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=59) | 乖离正常:BIAS20=2.7% | 量能健康(0.8xMA20)
601975,招商南油,10.0,轻回调,4.63,7.04,64.89,0.141,4.0,5.9,小幅涨:近10日+4% | 回调至MA10下:-3.3% | MACD绿柱收窄(-0.0167) | RSI14=55(回升区) | 乖离正常:BIAS20=-2.1% | 量能健康(0.8xMA20)
758,中色股份,9.0,中回调,6.73,5.4,126.87,0.158,2.6,-10.0,小幅涨:近10日+3% | 回调至MA20(6.65):+1.1% | MACD红柱(已启动) | KDJ金叉(K=69) | 乖离正常:BIAS20=1.1% | 量能健康(0.6xMA20)
2248,华东数控,8.5,中回调,12.58,8.06,14.95,0.018,4.0,-11.0,小幅涨:近10日+4% | 回调至MA20(12.39):+1.5% | MACD红柱(已启动) | RSI14=62(正常区) | 乖离正常:BIAS20=1.5% | 量能健康(0.6xMA20)
600359,新农开发,8.5,中回调,7.09,7.39,7.94,0.137,2.0,-7.8,小幅涨:近10日+2% | 回调至MA20(7.12):-0.4% | MACD红柱(已启动) | RSI14=62(正常区) | 乖离正常:BIAS20=-0.4% | 量能健康(0.7xMA20)
2128,电投能源,8.5,中回调,31.54,5.89,24.85,0.969,5.5,-6.2,小幅涨:近10日+5% | 回调至MA20(30.71):+2.7% | MACD红柱(已启动) | RSI14=64(正常区) | 乖离正常:BIAS20=2.7% | 量能健康(0.9xMA20)
300502,新易盛,8.5,布林撑,512.72,5.6,200.96,0.457,14.6,30.1,强势:近20日+30% | 布林下轨(397.29)获撑 | MACD红柱(已启动) | RSI14=62(正常区) | 量能健康(0.9xMA20) | 量开始放大
1389,广合科技,8.5,布林撑,132.0,5.52,134.44,0.382,14.9,10.4,上涨:近10日+15% | 布林下轨(99.75)获撑 | MACD红柱(已启动) | RSI6金叉RSI14 | 量能健康(1.3xMA20) | 量开始放大
601899,紫金矿业,8.5,中回调,33.66,5.37,11.23,0.29,3.7,-5.9,小幅涨:近10日+4% | 回调至MA20(33.16):+1.5% | MACD红柱(已启动) | RSI14=64(正常区) | 乖离正常:BIAS20=1.5% | 量能健康(0.6xMA20)
300881,盛德鑫泰,8.5,深回调,46.16,5.17,160.08,0.476,6.3,-1.0,上涨:近10日+6% | 回调至MA60(43.99) | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=63) | 量开始放大
600726,华电能源,8.0,中回调,4.86,10.61,39.16,0.089,-27.2,13.8,强势:近20日+14% | 回调至MA20(5.37):-9.4% | RSI14=45(回升区) | KDJ超卖J=-10 | 超跌:BIAS20=-9.4% | 量能健康(0.7xMA20) | 量开始放大
603708,家家悦,8.0,中回调,11.27,5.61,10.46,0.239,3.2,-2.3,小幅涨:近10日+3% | 回调至MA20(11.21):+0.5% | MACD红柱(已启动) | 乖离正常:BIAS20=0.5% | 量能健康(1.1xMA20) | 量开始放大
300442,润泽科技,8.0,布林撑,89.22,5.27,44.0,0.276,6.9,6.8,上涨:近10日+7% | 布林下轨(78.53)获撑 | MACD红柱(已启动) | RSI14=56(正常区) | 量能健康(1.3xMA20) | 量开始放大
603129,春风动力,8.0,中回调,247.0,5.23,33.97,1.934,9.0,-1.3,上涨:近10日+9% | 回调至MA20(239.90):+3.0% | MACD红柱(已启动) | 乖离正常:BIAS20=3.0% | 量能健康(0.7xMA20)
2032,苏 泊 尔,7.5,中回调,45.38,6.89,7.39,0.582,3.4,0.7,小幅涨:近10日+3% | 回调至MA20(44.68):+1.6% | MACD红柱(已启动) | 乖离正常:BIAS20=1.6% | 量能健康(0.9xMA20)
300009,安科生物,7.5,中回调,9.77,5.49,17.52,0.132,5.6,2.1,小幅涨:近10日+6% | 回调至MA20(9.49):+3.0% | MACD红柱(已启动) | 乖离正常:BIAS20=3.0% | 量能健康(0.7xMA20)
848,承德露露,7.0,深回调,8.29,7.39,3.07,0.234,4.9,0.4,小幅涨:近10日+5% | 回调至MA60(8.30) | MACD红柱(已启动) | KDJ金叉(K=66) | 量开始放大
155,川能动力,7.0,布林撑,17.3,5.33,3.42,0.337,7.1,14.1,强势:近20日+14% | 布林下轨(12.81)获撑 | MACD红柱(已启动) | 量能健康(1.2xMA20)
300394,天孚通信,6.5,布林撑,351.0,7.99,203.76,0.709,10.5,8.0,上涨:近10日+11% | 布林下轨(280.31)获撑 | MACD红柱(已启动) | 量能健康(1.0xMA20)
2534,西子洁能,6.5,深回调,18.42,6.27,681.14,0.363,11.2,-2.6,上涨:近10日+11% | 回调至MA60(18.09) | MACD红柱(已启动) | 量能健康(1.7xMA20) | 量开始放大
2008,大族激光,6.5,布林撑,75.78,6.25,544.69,0.949,20.6,10.3,上涨:近10日+21% | 布林下轨(55.42)获撑 | MACD红柱(已启动) | 量能健康(1.0xMA20)
688617,惠泰医疗,6.0,布林撑,256.1,6.83,39.56,2.062,3.7,9.0,小幅涨:近10日+4% | 布林下轨(220.59)获撑 | MACD红柱(已启动) | 量能健康(0.7xMA20)
603088,宁波精达,6.0,布林撑,13.41,6.82,41.38,0.123,10.6,5.4,"上涨:近10日+11% | 布林下轨(11.29)获撑 | MACD红柱(已启动) | RSI14=63(正常区) | 量开始放大 | 偏离MA5过大,追高风险"
300628,亿联网络,6.0,深回调,36.09,6.54,34.45,0.45,12.5,5.5,上涨:近10日+13% | 回调至MA60(35.54) | MACD红柱(已启动) | 量开始放大
603288,海天味业,6.0,布林撑,40.99,6.36,11.86,0.347,3.2,8.5,小幅涨:近10日+3% | 布林下轨(35.67)获撑 | MACD红柱(已启动) | 量能健康(0.5xMA20)
300532,今天国际,6.0,深回调,11.66,5.62,6.2,0.316,11.4,1.8,上涨:近10日+11% | 回调至MA60(11.84) | MACD红柱(已启动) | 量能健康(0.8xMA20)
603279,景津装备,6.0,深回调,18.27,5.49,6.7,0.396,9.5,-5.6,上涨:近10日+9% | 回调至MA60(18.07) | MACD红柱(已启动) | 量能健康(0.5xMA20)
2420,毅昌科技,5.5,深回调,7.68,10.29,379.61,0.138,5.3,-3.5,小幅涨:近10日+5% | 回调至MA60(7.90) | MACD红柱(已启动) | 量能健康(0.9xMA20)
688378,奥来德,5.5,深回调,37.7,5.08,0.22,0.639,5.2,-1.7,小幅涨:近10日+5% | 回调至MA60(36.06) | MACD红柱(已启动) | 量能健康(1.1xMA20)
603929,亚翔集成,5.0,布林撑,211.5,7.57,251.51,0.545,14.3,50.2,"强势:近20日+50% | 布林下轨(157.58)获撑 | MACD红柱(已启动) | 量能健康(0.9xMA20) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
