代码,名称,综合得分,回调深度,收盘价,ROE(%),净利润增长(%),每股收益,详细理由
601020,华钰矿业,12.0,中回调,29.7,1.31,319.45,0.062,上涨:近10日+6% | 回调至MA20(29.82):-0.4% | MACD红柱(已启动) | RSI14=44(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-0.4% | 量能健康(2.0xMA20) | 量开始放大
2565,顺灏股份,12.0,中回调,16.42,1.02,321.92,0.025,强势:近20日+24% | 回调至MA20(16.08):+2.1% | MACD红柱(已启动) | RSI14=47(回升区) | RSI6金叉RSI14 | 乖离正常:BIAS20=2.1% | 量能健康(0.5xMA20)
688583,思看科技,11.5,中回调,122.84,4.32,,0.436,小幅涨:近10日+3% | 回调至MA20(120.51):+1.9% | MACD红柱(已启动) | RSI14=63(正常区) | RSI6金叉RSI14 | KDJ金叉(K=54) | 乖离正常:BIAS20=1.9% | 量能健康(1.0xMA20)
605377,华旺科技,11.5,中回调,9.61,3.53,37.04,0.442,上涨:近10日+6% | 回调至MA20(9.58):+0.3% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=61) | 乖离正常:BIAS20=0.3% | 量能健康(0.8xMA20)
600623,华谊集团,11.5,中回调,10.15,0.68,162.67,0.112,小幅涨:近10日+2% | 回调至MA20(10.00):+1.5% | MACD绿柱收窄(-0.0117) | RSI14=51(回升区) | KDJ金叉(K=63) | 乖离正常:BIAS20=1.5% | 量能健康(1.0xMA20) | 量开始放大
688480,赛恩斯,11.0,中回调,85.49,7.88,456.41,0.852,小幅涨:近10日+4% | 回调至MA20(85.77):-0.3% | MACD红柱(已启动) | RSI14=50(回升区) | KDJ金叉(K=54) | 乖离正常:BIAS20=-0.3% | 量能健康(0.9xMA20)
300773,拉卡拉,11.0,中回调,24.76,5.27,-19.06,0.261,小幅涨:近10日+4% | 回调至MA20(24.43):+1.3% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=59) | 乖离正常:BIAS20=1.3% | 量能健康(1.2xMA20)
2686,亿利达,11.0,轻回调,6.89,0.68,86.7,0.021,小幅涨:近10日+5% | 回调至MA10下:-5.0% | MACD绿柱收窄(-0.0175) | RSI14=49(回升区) | KDJ超卖J=13 | 乖离正常:BIAS20=-3.7% | 量能健康(1.1xMA20)
1337,四川黄金,10.5,中回调,48.95,5.34,24.12,0.183,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
601702,华峰铝业,10.5,中回调,19.86,5.31,49.52,0.254,上涨:近10日+6% | 回调至MA20(19.71):+0.8% | MACD红柱(已启动) | RSI14=57(正常区) | KDJ金叉(K=64) | 乖离正常:BIAS20=0.8% | 量能健康(0.7xMA20)
