代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
000917,电广传媒,2026-04-13,11.5,中回调,9.74,9.62,9.49,9.56,10.68,66.4,61.1,0.0986,63.3,51.3,87.4,0.79,4.4,-2.3,0.37,1.3,小幅涨:近10日+4% | 回调至MA20(9.56):+1.9% | MACD红柱(已启动) | RSI14=61(正常区) | RSI6金叉RSI14 | KDJ金叉(K=63) | 乖离正常:BIAS20=1.9% | 量能健康(0.8xMA20)
000920,沃顿科技,2026-04-13,11.5,中回调,11.89,11.57,11.41,11.98,12.79,69.7,47.3,0.0345,65.1,44.5,106.3,0.68,3.8,-14.9,0.43,2.8,小幅涨:近10日+4% | 回调至MA20(11.98):-0.8% | MACD红柱(已启动) | RSI14=47(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-0.8% | 量能健康(0.7xMA20) | 量开始放大
000021,深科技,2026-04-13,11.0,中回调,28.25,27.58,26.87,28.63,29.89,95.5,48.9,0.0855,68.4,48.0,109.3,0.65,2.8,-8.6,1.27,2.4,小幅涨:近10日+3% | 回调至MA20(28.63):-1.3% | MACD红柱(已启动) | RSI14=49(回升区) | KDJ金叉(K=68) | 乖离正常:BIAS20=-1.3% | 量能健康(0.7xMA20)
001239,永达股份,2026-04-13,11.0,中回调,15.36,15.18,15.12,15.27,16.11,55.5,59.4,0.0684,60.0,55.8,68.5,0.91,7.5,-4.2,0.65,1.2,上涨:近10日+7% | 回调至MA20(15.27):+0.6% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=0.6% | 量能健康(0.9xMA20) | 量开始放大
002309,中利集团,2026-04-13,11.0,轻回调,4.45,4.77,4.81,4.44,3.62,26.5,53.1,-0.0514,40.2,55.7,9.2,0.75,2.8,28.2,0.47,-6.8,强势:近20日+28% | 回调至MA10下:-7.5% | MACD绿柱(-0.0514) | RSI14=53(回升区) | KDJ超卖J=9 | 乖离正常:BIAS20=0.3% | 量能健康(0.7xMA20)
002310,东方新能,2026-04-13,11.0,中回调,3.17,3.14,3.19,3.31,2.69,59.7,35.3,-0.0703,27.6,27.5,27.8,0.51,-17.4,16.5,0.32,1.1,强势:近20日+17% | 回调至MA20(3.31):-4.2% | MACD绿柱(-0.0703) | RSI14=35(回升区) | KDJ金叉(K=28) | 乖离正常:BIAS20=-4.2% | 量能健康(0.5xMA20)
002427,尤夫股份,2026-04-13,11.0,中回调,6.51,6.46,6.24,6.58,7.13,67.9,54.4,0.0568,64.9,50.2,94.3,1.01,3.2,-6.9,0.31,0.8,小幅涨:近10日+3% | 回调至MA20(6.58):-1.1% | MACD红柱(已启动) | RSI14=54(回升区) | KDJ金叉(K=65) | 乖离正常:BIAS20=-1.1% | 量能健康(1.0xMA20)
000066,中国长城,2026-04-13,10.5,中回调,15.39,14.92,14.77,15.11,16.03,80.0,63.4,0.0661,56.6,40.1,89.5,1.29,2.1,-6.2,0.58,3.2,小幅涨:近10日+2% | 回调至MA20(15.11):+1.8% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=57) | 乖离正常:BIAS20=1.8% | 量能健康(1.3xMA20) | 量开始放大
000617,中油资本,2026-04-13,10.5,中回调,10.08,10.53,10.36,10.32,9.55,52.6,48.9,-0.054,31.0,41.2,10.7,0.56,-5.3,13.5,0.74,-4.3,强势:近20日+14% | 回调至MA20(10.32):-2.3% | MACD绿柱(-0.0540) | RSI14=49(回升区) | KDJ超卖J=11 | 乖离正常:BIAS20=-2.3% | 量能健康(0.6xMA20)
000672,上峰水泥,2026-04-13,10.5,中回调,13.12,13.24,13.08,13.06,13.8,55.0,63.1,0.0896,64.7,61.2,71.7,0.88,3.7,-5.9,0.41,-0.9,小幅涨:近10日+4% | 回调至MA20(13.06):+0.5% | MACD红柱(已启动) | RSI14=63(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=0.5% | 量能健康(0.9xMA20) | 量开始放大
001278,一彬科技,2026-04-13,10.5,中回调,21.69,21.6,21.33,21.48,22.55,66.9,66.7,0.1235,68.5,62.0,81.4,0.52,3.7,-5.8,1.0,0.4,小幅涨:近10日+4% | 回调至MA20(21.48):+1.0% | MACD红柱(已启动) | RSI6金叉RSI14 | KDJ金叉(K=69) | 乖离正常:BIAS20=1.0% | 量能健康(0.5xMA20)
001282,三联锻造,2026-04-13,10.5,中回调,20.96,20.68,20.15,20.42,21.63,64.7,63.6,0.2139,59.8,51.6,76.3,1.67,5.6,-7.7,0.84,1.4,小幅涨:近10日+6% | 回调至MA20(20.42):+2.7% | MACD红柱(已启动) | RSI14=64(正常区) | KDJ金叉(K=60) | 乖离正常:BIAS20=2.7% | 量能健康(1.7xMA20) | 量开始放大
001319,铭科精技,2026-04-13,10.5,中回调,25.08,24.85,24.65,24.83,27.48,61.2,61.7,0.2204,58.0,52.4,69.3,1.16,2.9,-4.1,0.71,0.9,小幅涨:近10日+3% | 回调至MA20(24.83):+1.0% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=58) | 乖离正常:BIAS20=1.0% | 量能健康(1.2xMA20) | 量开始放大
001337,四川黄金,2026-04-13,10.5,中回调,48.95,49.43,48.98,49.05,49.51,56.9,60.6,0.1236,55.8,55.1,57.1,0.56,6.3,-8.9,2.48,-1.0,上涨:近10日+6% | 回调至MA20(49.05):-0.2% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=56) | 乖离正常:BIAS20=-0.2% | 量能健康(0.6xMA20)
002046,国机精工,2026-04-13,10.5,中回调,46.26,45.64,44.56,44.92,47.08,71.6,64.5,0.4045,68.6,57.2,91.5,1.2,7.1,-2.0,1.86,1.3,上涨:近10日+7% | 回调至MA20(44.92):+3.0% | MACD红柱(已启动) | RSI14=65(正常区) | KDJ金叉(K=69) | 乖离正常:BIAS20=3.0% | 量能健康(1.2xMA20)
002157,正邦科技,2026-04-13,10.5,中回调,3.17,3.1,3.07,3.14,3.21,65.5,62.3,0.0066,65.1,50.9,93.4,1.51,2.6,-5.1,0.09,2.4,小幅涨:近10日+3% | 回调至MA20(3.14):+1.1% | MACD红柱(已启动) | RSI14=62(正常区) | KDJ金叉(K=65) | 乖离正常:BIAS20=1.1% | 量能健康(1.5xMA20) | 量开始放大
002177,御银股份,2026-04-13,10.5,中回调,8.02,7.73,7.56,7.84,8.27,76.1,59.2,0.057,66.6,49.0,101.8,1.81,4.7,-11.6,0.38,3.7,小幅涨:近10日+5% | 回调至MA20(7.84):+2.3% | MACD红柱(已启动) | RSI14=59(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.3% | 量能健康(1.8xMA20) | 量开始放大
002268,电科网安,2026-04-13,10.5,中回调,17.26,16.8,16.71,17.16,19.14,73.2,60.3,0.1107,68.0,48.4,107.3,1.12,2.4,-10.0,0.47,2.7,小幅涨:近10日+2% | 回调至MA20(17.16):+0.6% | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=68) | 乖离正常:BIAS20=0.6% | 量能健康(1.1xMA20) | 量开始放大
002380,科远智慧,2026-04-13,10.5,中回调,33.74,33.11,32.06,32.9,32.81,71.7,60.7,0.1864,67.0,53.1,94.9,1.55,5.1,-10.4,1.44,1.9,小幅涨:近10日+5% | 回调至MA20(32.90):+2.6% | MACD红柱(已启动) | RSI14=61(正常区) | KDJ金叉(K=67) | 乖离正常:BIAS20=2.6% | 量能健康(1.5xMA20) | 量开始放大
