板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
电子,002384,东山精密,4.23,+2.28%,159.576,7.83,4231.3
电子,002475,立讯精密,3.47,+0.72%,139.585,3.29,4231.3
电子,300476,胜宏科技,5.86,+2.89%,134.213,5.26,4231.3
电子,603986,兆易创新,3.37,-1.11%,108.962,6.18,4231.3
电子,688041,海光信息,7.21,+5.79%,105.753,1.84,4231.3
电力设备,300750,宁德时代,4.17,+2.68%,176.255,0.97,2758.1
电力设备,300274,阳光电源,5.57,+2.64%,113.826,5.35,2758.1
电力设备,300390,天华新能,18.18,+17.42%,83.558,16.55,2758.1
电力设备,605117,德业股份,11.71,+5.26%,62.320,4.63,2758.1
电力设备,300014,亿纬锂能,4.5,+1.36%,60.176,4.14,2758.1
通信,300502,新易盛,4.21,-1.87%,191.160,4.24,1895.0
通信,300308,中际旭创,4.05,+0.46%,167.305,2.07,1895.0
通信,300394,天孚通信,4.54,-2.20%,130.739,4.83,1895.0
通信,600487,亨通光电,5.09,-4.45%,109.912,8.32,1895.0
通信,601869,长飞光纤,4.13,-3.95%,84.250,5.67,1895.0
半导体,603986,兆易创新,3.37,-1.11%,108.962,6.18,1841.3
半导体,688041,海光信息,7.21,+5.79%,105.753,1.84,1841.3
半导体,001309,德明利,8.57,+7.66%,101.201,13.43,1841.3
半导体,688525,佰维存储,7.85,+5.94%,100.326,8.44,1841.3
半导体,688256,寒武纪,4.19,+0.74%,96.846,1.88,1841.3
通信设备,300502,新易盛,4.21,-1.87%,191.160,4.24,1663.0
通信设备,300308,中际旭创,4.05,+0.46%,167.305,2.07,1663.0
通信设备,300394,天孚通信,4.54,-2.20%,130.739,4.83,1663.0
通信设备,600487,亨通光电,5.09,-4.45%,109.912,8.32,1663.0
通信设备,601869,长飞光纤,4.13,-3.95%,84.250,5.67,1663.0
机械设备,000988,华工科技,8.92,+7.97%,134.517,11.12,1577.4
机械设备,002837,英维克,4.29,+3.85%,62.269,7.18,1577.4
机械设备,002342,巨力索具,7.1,+5.42%,43.377,28.03,1577.4
机械设备,002131,利欧股份,3.88,+0.75%,42.126,8.96,1577.4
机械设备,002353,杰瑞股份,5.24,-4.88%,30.333,3.9,1577.4
有色金属,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,1313.9
有色金属,601899,紫金矿业,1.45,-0.27%,59.217,0.86,1313.9
有色金属,600111,北方稀土,2.82,+1.14%,55.066,2.9,1313.9
有色金属,603799,华友钴业,3.53,+1.63%,47.754,4.08,1313.9
有色金属,002466,天齐锂业,5.1,+4.12%,47.182,5.21,1313.9
计算机,000977,浪潮信息,6.49,+1.24%,72.277,7.2,1279.1
计算机,603019,中科曙光,6.91,+4.33%,62.232,4.79,1279.1
计算机,000938,紫光股份,6.72,+4.25%,60.714,7.6,1279.1
计算机,300017,网宿科技,6.7,+2.19%,44.381,10.6,1279.1
