概念板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
央国企改革,000988,华工科技,8.92,+7.97%,134.517,11.12,5506.4
央国企改革,002281,光迅科技,7.97,+5.48%,80.244,9.08,5506.4
央国企改革,000977,浪潮信息,6.49,+1.24%,72.277,7.2,5506.4
央国企改革,600010,包钢股份,6.36,+5.30%,66.273,7.11,5506.4
央国企改革,603019,中科曙光,6.91,+4.33%,62.232,4.79,5506.4
基金重仓,300502,新易盛,4.21,-1.87%,191.160,4.24,5488.7
基金重仓,002384,东山精密,4.23,+2.28%,159.576,7.83,5488.7
基金重仓,300476,胜宏科技,5.86,+2.89%,134.213,5.26,5488.7
基金重仓,300394,天孚通信,4.54,-2.20%,130.739,4.83,5488.7
基金重仓,300274,阳光电源,5.57,+2.64%,113.826,5.35,5488.7
华为概念,300750,宁德时代,4.17,+2.68%,176.255,0.97,5176.8
华为概念,002384,东山精密,4.23,+2.28%,159.576,7.83,5176.8
华为概念,002475,立讯精密,3.47,+0.72%,139.585,3.29,5176.8
华为概念,000988,华工科技,8.92,+7.97%,134.517,11.12,5176.8
华为概念,300394,天孚通信,4.54,-2.20%,130.739,4.83,5176.8
小盘股,600105,永鼎股份,7.64,+1.57%,82.697,14.88,4662.7
小盘股,000592,平潭发展,7.61,+2.27%,46.152,20.07,4662.7
小盘股,002428,云南锗业,5.69,-2.92%,44.794,12.42,4662.7
小盘股,688048,长光华芯,12.39,+6.90%,44.025,10.09,4662.7
小盘股,600759,洲际油气,10.02,+6.68%,39.216,17.01,4662.7
通信技术,300502,新易盛,4.21,-1.87%,191.160,4.24,4639.5
通信技术,300308,中际旭创,4.05,+0.46%,167.305,2.07,4639.5
通信技术,002384,东山精密,4.23,+2.28%,159.576,7.83,4639.5
通信技术,002475,立讯精密,3.47,+0.72%,139.585,3.29,4639.5
通信技术,000988,华工科技,8.92,+7.97%,134.517,11.12,4639.5
百元股,300502,新易盛,4.21,-1.87%,191.160,4.24,4477.0
百元股,300750,宁德时代,4.17,+2.68%,176.255,0.97,4477.0
百元股,300308,中际旭创,4.05,+0.46%,167.305,2.07,4477.0
百元股,002384,东山精密,4.23,+2.28%,159.576,7.83,4477.0
百元股,000988,华工科技,8.92,+7.97%,134.517,11.12,4477.0
中盘股,001309,德明利,8.57,+7.66%,101.201,13.43,4327.1
中盘股,688525,佰维存储,7.85,+5.94%,100.326,8.44,4327.1
中盘股,300390,天华新能,18.18,+17.42%,83.558,16.55,4327.1
中盘股,002281,光迅科技,7.97,+5.48%,80.244,9.08,4327.1
中盘股,300058,蓝色光标,5.88,+0.30%,72.280,12.59,4327.1
机构重仓,002475,立讯精密,3.47,+0.72%,139.585,3.29,4320.4
机构重仓,600010,包钢股份,6.36,+5.30%,66.273,7.11,4320.4
机构重仓,600522,中天科技,4.36,-4.30%,62.144,6.35,4320.4
机构重仓,601899,紫金矿业,1.45,-0.27%,59.217,0.86,4320.4
机构重仓,300475,香农芯创,3.31,+0.50%,55.316,8.21,4320.4
新能源车,300750,宁德时代,4.17,+2.68%,176.255,0.97,4233.8
新能源车,002384,东山精密,4.23,+2.28%,159.576,7.83,4233.8
新能源车,002475,立讯精密,3.47,+0.72%,139.585,3.29,4233.8
新能源车,000988,华工科技,8.92,+7.97%,134.517,11.12,4233.8
新能源车,300476,胜宏科技,5.86,+2.89%,134.213,5.26,4233.8
5G概念,300502,新易盛,4.21,-1.87%,191.160,4.24,4069.1
5G概念,300308,中际旭创,4.05,+0.46%,167.305,2.07,4069.1
5G概念,002384,东山精密,4.23,+2.28%,159.576,7.83,4069.1
5G概念,002475,立讯精密,3.47,+0.72%,139.585,3.29,4069.1
5G概念,000988,华工科技,8.92,+7.97%,134.517,11.12,4069.1
东方财富热股,300502,新易盛,4.21,-1.87%,191.160,4.24,4026.3
东方财富热股,300750,宁德时代,4.17,+2.68%,176.255,0.97,4026.3
东方财富热股,300308,中际旭创,4.05,+0.46%,167.305,2.07,4026.3
东方财富热股,002384,东山精密,4.23,+2.28%,159.576,7.83,4026.3
东方财富热股,002475,立讯精密,3.47,+0.72%,139.585,3.29,4026.3
半导体概念,000988,华工科技,8.92,+7.97%,134.517,11.12,3863.4
半导体概念,603986,兆易创新,3.37,-1.11%,108.962,6.18,3863.4
半导体概念,688041,海光信息,7.21,+5.79%,105.753,1.84,3863.4
半导体概念,001309,德明利,8.57,+7.66%,101.201,13.43,3863.4
半导体概念,688525,佰维存储,7.85,+5.94%,100.326,8.44,3863.4
昨日高振幅,002384,东山精密,4.23,+2.28%,159.576,7.83,3857.1
昨日高振幅,002475,立讯精密,3.47,+0.72%,139.585,3.29,3857.1
昨日高振幅,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,3857.1
昨日高振幅,601869,长飞光纤,4.13,-3.95%,84.250,5.67,3857.1
昨日高振幅,300390,天华新能,18.18,+17.42%,83.558,16.55,3857.1
电池技术,300750,宁德时代,4.17,+2.68%,176.255,0.97,3836.8
电池技术,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,3836.8
电池技术,300390,天华新能,18.18,+17.42%,83.558,16.55,3836.8
电池技术,002594,比亚迪,4.11,+2.54%,68.871,1.9,3836.8
电池技术,600522,中天科技,4.36,-4.30%,62.144,6.35,3836.8
国产芯片,603986,兆易创新,3.37,-1.11%,108.962,6.18,3800.4
国产芯片,688041,海光信息,7.21,+5.79%,105.753,1.84,3800.4
国产芯片,001309,德明利,8.57,+7.66%,101.201,13.43,3800.4
国产芯片,688525,佰维存储,7.85,+5.94%,100.326,8.44,3800.4
国产芯片,688256,寒武纪,4.19,+0.74%,96.846,1.88,3800.4
专精特新,300394,天孚通信,4.54,-2.20%,130.739,4.83,3602.1
专精特新,688041,海光信息,7.21,+5.79%,105.753,1.84,3602.1
专精特新,001309,德明利,8.57,+7.66%,101.201,13.43,3602.1
专精特新,688525,佰维存储,7.85,+5.94%,100.326,8.44,3602.1
专精特新,600105,永鼎股份,7.64,+1.57%,82.697,14.88,3602.1
大盘成长,300502,新易盛,4.21,-1.87%,191.160,4.24,3423.9
大盘成长,300750,宁德时代,4.17,+2.68%,176.255,0.97,3423.9
大盘成长,300308,中际旭创,4.05,+0.46%,167.305,2.07,3423.9
大盘成长,002384,东山精密,4.23,+2.28%,159.576,7.83,3423.9
大盘成长,002475,立讯精密,3.47,+0.72%,139.585,3.29,3423.9
人工智能,603986,兆易创新,3.37,-1.11%,108.962,6.18,3274.8
人工智能,688041,海光信息,7.21,+5.79%,105.753,1.84,3274.8
人工智能,688256,寒武纪,4.19,+0.74%,96.846,1.88,3274.8
人工智能,688008,澜起科技,8.9,+6.11%,80.139,4.67,3274.8
人工智能,601138,工业富联,2.03,-1.45%,75.850,0.68,3274.8
锂电池概念,300750,宁德时代,4.17,+2.68%,176.255,0.97,3146.3
锂电池概念,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,3146.3
锂电池概念,300390,天华新能,18.18,+17.42%,83.558,16.55,3146.3
锂电池概念,002594,比亚迪,4.11,+2.54%,68.871,1.9,3146.3
锂电池概念,600522,中天科技,4.36,-4.30%,62.144,6.35,3146.3
储能概念,300750,宁德时代,4.17,+2.68%,176.255,0.97,3041.1
储能概念,300274,阳光电源,5.57,+2.64%,113.826,5.35,3041.1
储能概念,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,3041.1
储能概念,300390,天华新能,18.18,+17.42%,83.558,16.55,3041.1
储能概念,002594,比亚迪,4.11,+2.54%,68.871,1.9,3041.1
2025中报预增,300502,新易盛,4.21,-1.87%,191.160,4.24,3029.2
2025中报预增,300308,中际旭创,4.05,+0.46%,167.305,2.07,3029.2
2025中报预增,000988,华工科技,8.92,+7.97%,134.517,11.12,3029.2
2025中报预增,600105,永鼎股份,7.64,+1.57%,82.697,14.88,3029.2
2025中报预增,002281,光迅科技,7.97,+5.48%,80.244,9.08,3029.2
机器人概念,002475,立讯精密,3.47,+0.72%,139.585,3.29,3000.7
机器人概念,000988,华工科技,8.92,+7.97%,134.517,11.12,3000.7
机器人概念,300476,胜宏科技,5.86,+2.89%,134.213,5.26,3000.7
机器人概念,600487,亨通光电,5.09,-4.45%,109.912,8.32,3000.7
机器人概念,688525,佰维存储,7.85,+5.94%,100.326,8.44,3000.7
