date,close,predict,prob_up,real,correct,ret,equity
2024-03-29,36.43,跌↓,49.3,涨↑,✗,+7.11%,1.0
2024-04-01,39.02,跌↓,53.1,跌↓,✓,-2.92%,1.0
2024-04-02,37.88,涨↑,53.8,涨↑,✓,+0.42%,1.0042
2024-04-03,38.04,涨↑,56.3,跌↓,✗,-1.66%,0.9876
2024-04-08,37.41,涨↑,53.7,涨↑,✓,+1.87%,1.0061
2024-04-09,38.11,跌↓,49.6,跌↓,✓,-1.18%,1.0061
2024-04-10,37.66,涨↑,57.0,跌↓,✗,-3.98%,0.966
2024-04-11,36.16,涨↑,64.1,跌↓,✗,-0.28%,0.9633
2024-04-12,36.06,涨↑,59.8,跌↓,✗,-1.69%,0.947
2024-04-15,35.45,涨↑,54.7,涨↑,✓,+2.09%,0.9668
2024-04-16,36.19,跌↓,46.6,跌↓,✓,-0.55%,0.9668
2024-04-17,35.99,跌↓,51.0,涨↑,✗,+2.11%,0.9668
2024-04-18,36.75,跌↓,48.1,涨↑,✗,+0.79%,0.9668
2024-04-19,37.04,跌↓,41.3,涨↑,✗,+7.69%,0.9668
2024-04-22,39.89,跌↓,44.1,跌↓,✓,-2.23%,0.9668
2024-04-23,39.0,跌↓,46.2,跌↓,✓,-2.77%,0.9668
2024-04-24,37.92,跌↓,45.0,跌↓,✓,-2.27%,0.9668
2024-04-25,37.06,跌↓,47.6,跌↓,✓,-2.64%,0.9668
2024-04-26,36.08,涨↑,54.3,涨↑,✓,+0.17%,0.9684
2024-04-29,36.14,跌↓,38.7,涨↑,✗,+0.25%,0.9684
2024-04-30,36.23,跌↓,45.0,涨↑,✗,+5.74%,0.9684
2024-05-06,38.31,跌↓,33.9,涨↑,✗,+0.50%,0.9684
2024-05-07,38.5,跌↓,35.6,涨↑,✗,+8.03%,0.9684
2024-05-08,41.59,涨↑,54.2,跌↓,✗,-1.88%,0.9502
2024-05-09,40.81,跌↓,51.0,涨↑,✗,+1.74%,0.9502
2024-05-10,41.52,跌↓,53.1,涨↑,✗,+5.47%,0.9502
2024-05-13,43.79,跌↓,47.0,跌↓,✓,-0.43%,0.9502
2024-05-14,43.6,跌↓,53.2,跌↓,✓,-1.38%,0.9502
2024-05-15,43.0,涨↑,57.0,跌↓,✗,-0.42%,0.9463
2024-05-16,42.82,跌↓,51.1,涨↑,✗,+0.07%,0.9463
2024-04-16,36.19,跌↓,42.0,跌↓,✓,-0.55%,0.9463
2024-04-17,35.99,跌↓,47.8,涨↑,✗,+2.11%,0.9463
2024-04-18,36.75,跌↓,45.2,涨↑,✗,+0.79%,0.9463
