代码,ROE,净利增长,毛利率,EPS
603325,1.23,-75.2669,,0.4226
600623,0.68,162.667,,0.1115
600410,-4.07,-364.7229,,
002565,1.02,321.9188,,0.0253
000021,1.11,41.2671,,0.1112
300991,0.32,,,0.0117
605296,-0.08,,,
002427,-2.84,,,
300319,1.46,23.4607,,0.0732
000917,0.27,22.6375,,0.0398
002995,-0.98,,,
688061,-0.17,,,
300102,-0.14,,,
002686,0.68,86.701,,0.021
688583,4.32,,,0.4363
002309,0.0,,,
603319,2.55,22.4633,,0.2163
688292,0.27,,,0.0175
002310,0.0,,,
002772,1.0,-82.7159,,0.0875
601020,1.31,319.4533,,0.0616
300468,1.01,12.3133,,0.031
300099,0.45,-59.9857,,0.0093
300113,2.55,28.3567,,0.0901
300249,1.26,,,0.0119
000920,1.86,23.5498,,0.0755
688295,0.86,-68.1243,,0.0464
688375,1.97,4.2207,,0.3019
605377,3.53,37.042,,0.4419
001239,1.28,-11.5056,,0.0662
300383,1.3,-1.9614,,0.0917
300981,0.02,,,0.0035
688416,-2.21,,,
688513,2.86,22.9958,,0.6246
300443,0.48,-70.8536,,0.0897
002177,0.33,-48.7577,,0.0075
000672,0.16,-113.0018,,0.02
001282,1.98,53.0333,,0.2579
002268,-3.62,,,
688480,7.88,456.4074,,0.8515
300773,5.27,-19.0576,,0.2606
000066,-2.03,,,
002157,-0.45,,,
002788,2.78,6.2645,,0.215
600231,-4.49,-794.9181,,
000617,1.7,-3.7354,,0.2897
001278,1.44,-0.5078,,0.1448
002518,3.07,-44.8192,,0.2289
002380,2.13,328.5218,,0.1752
001319,1.63,13.2323,,0.1469
002785,0.45,,,0.0117
002879,0.96,220.9036,,0.0842
688766,2.51,,,0.6611
600249,-0.06,-125.1521,,
001337,5.34,24.1226,,0.1828
002866,0.64,-75.0719,,0.021
002951,-0.3,,,
002046,2.55,15.432,,0.1674
002983,2.67,-9.0974,,0.1893
003008,1.21,-18.3438,,0.1639
002986,1.9,-29.4522,,0.1882
300540,0.39,-75.6558,,0.0239
300564,-4.1,,,
300017,1.41,52.697,,0.0581
300818,2.9,,,0.3705
300300,-17.75,,,
300491,0.68,-51.2081,,0.0442
300927,1.78,-45.4643,,0.0862
600996,-5.02,-10537.8749,,
300471,-1.74,,,
600888,3.3,-21.3775,,0.2451
300588,-4.07,,,
300219,0.93,-46.6986,,0.0344
300775,3.66,-4.0376,,0.3806
600109,1.12,-37.6386,,0.1009
300254,2.96,736.7978,,0.1032
300228,1.02,410.6609,,0.0447
600118,-0.34,-134.8434,,
600361,2.71,6.3109,,0.0652
603663,1.51,-40.8201,,0.0531
300053,0.35,-73.7233,,0.0102
601600,3.55,39.5478,,0.2359
603387,3.25,-29.6968,,0.1724
603949,1.81,2.0761,,0.0896
601702,5.31,49.5153,,0.2539
300816,1.7,89.9694,,0.1955
603122,0.61,-22.9989,,0.0176
688028,1.22,134.5644,,0.1535
688059,1.34,-28.6935,,0.2779
688118,-4.79,,,
688155,3.94,105.3316,,1.1004
688356,1.12,-69.3044,,0.2384
000157,1.6,18.833,,0.1176
000815,0.37,,,0.0107
688328,-2.69,,,
000725,0.75,,,0.0128
688216,-2.91,,,
000727,0.18,,,0.0107
688233,0.08,,,0.0127
688311,-1.29,,,
000636,0.61,19.395,,0.0631
000788,3.0,163.7898,,0.0739
688380,0.96,-32.8847,,0.072
000950,0.91,-41.8534,,0.078
688636,-1.03,,,
002009,0.11,,,0.0051
001234,3.18,112.3004,,0.2761
000880,1.21,12.0863,,0.0721
002079,0.25,-71.09,,0.0087
002038,1.19,-65.4523,,0.0678
000905,1.56,-4.315,,0.1239
002226,1.62,40.0217,,0.0728
002261,0.24,-92.3312,,0.0028
002050,3.55,6.1781,,0.1731
002324,1.8,-32.406,,0.0669
002115,0.66,-25.0856,,0.0274
002387,-8.59,,,
002421,0.11,-77.6952,,0.002
002539,2.51,-39.4674,,0.1777
002449,0.73,29.0212,,0.0452
003041,1.94,105.5608,,0.1829
003026,0.18,,,0.0536
002675,1.28,4.7937,,0.08
002926,0.55,-68.6784,,0.048
300166,0.07,-92.3304,,0.0031
002851,3.03,-12.5871,,0.2812
300088,0.6,-43.8678,,0.0249
300162,0.2,,,0.0087
300150,-0.88,-2984.3525,,
300063,0.84,-26.1337,,0.0219
300467,1.77,-53.1063,,0.0675
300019,1.61,-27.0355,,0.1026
300337,1.74,133.6235,,0.0351
300170,1.03,56.0696,,0.0504
300161,-4.32,,,
300537,1.89,15.8243,,0.0751
300433,0.66,375.2538,,0.0634
300516,0.32,-9.257,,0.0238
300541,-0.19,-139.7281,,
300550,-0.05,-132.7756,,
