代码,ROE,毛利率,净利润增长,营收增长,资产负债率,每股收益
300113,2.55,,28.3567,,18.4089,
2565,,,,,,
600410,-4.07,,-364.7229,,44.5167,
601020,1.31,,319.4533,,33.885,
603319,2.55,,22.4633,,40.6264,
603325,1.23,,-75.2669,,51.6058,
688375,1.97,,4.2207,,25.2842,
920,,,,,,
917,,,,,,
2772,,,,,,
300468,1.01,,12.3133,,7.9717,
300991,0.32,,,,51.8751,
600623,0.68,,162.667,,55.5279,
605377,3.53,,37.042,,28.035,
605296,-0.08,,,,29.5279,
688061,-0.17,,,,10.1154,
688292,0.27,,,,17.5452,
688295,0.86,,-68.1243,,50.1131,
688583,4.32,,,,,
21,,,,,,
1239,,,,,,
2309,,,,,,
2310,,,,,,
2427,,,,,,
2686,,,,,,
2995,,,,,,
300102,-0.14,,,,37.892,
300099,0.45,,-59.9857,,11.6974,
300249,1.26,,,,73.1914,
300319,1.46,,23.4607,,29.0571,
300383,1.3,,-1.9614,,30.6917,
300443,0.48,,-70.8536,,10.401,
300773,5.27,,-19.0576,,64.3041,
300981,0.02,,,,21.8614,
600231,-4.49,,-794.9181,,53.3753,
600249,-0.06,,-125.1521,,19.3472,
688416,-2.21,,,,6.6128,
688480,7.88,,456.4074,,34.0981,
688513,2.86,,22.9958,,22.1748,
688766,2.51,,,,11.3938,
66,,,,,,
617,,,,,,
672,,,,,,
1278,,,,,,
1282,,,,,,
1319,,,,,,
1337,,,,,,
2046,,,,,,
2157,,,,,,
2177,,,,,,
